,Nominal,Security fee,Establishment fee,Term,Efficient
0,1.69,0,0,50,1.76
1,1.78,0,0,0,1.79
2,1.75,0,0,50,1.83
3,1.81,0,0,0,1.83
4,1.75,1200,0,75,1.86
5,1.80,0,0,40,1.86
6,1.86,0,0,0,1.88
7,1.80,1000,0,65,1.89
8,1.89,500,0,0,1.91
9,1.85,1200,0,60,1.94
10,1.90,0,0,40,1.97
11,1.96,0,0,0,1.98
12,1.89,0,0,60,1.98
13,1.90,700,2600,55,1.98
14,1.97,0,0,0,1.99
15,1.90,1000,0,60,1.99
16,1.99,500,0,0,2.01
17,1.99,500,0,0,2.01
18,1.90,1200,0,75,2.01
19,1.95,0,0,50,2.03
20,1.95,0,0,50,2.03
21,2.01,0,0,0,2.03
22,1.95,750,0,50,2.03
23,1.94,1000,0,60,2.03
24,1.97,0,0,45,2.04
25,1.99,0,0,35,2.05
26,2.00,0,0,35,2.06
27,2.05,0,0,0,2.07
28,2.05,0,0,0,2.07
29,1.99,1000,0,50,2.07
30,2.00,1200,0,45,2.07
31,2.00,0,0,50,2.08
32,2.00,0,0,50,2.08
33,2.00,0,0,50,2.08
34,1.99,1000,0,60,2.08
35,2.00,700,2600,55,2.09
36,2.00,700,2600,55,2.09
37,1.99,0,0,65,2.09
38,1.99,0,0,65,2.09
39,1.99,1000,0,65,2.09
40,1.99,1000,0,65,2.09
41,1.99,1000,0,65,2.09
42,2.00,1000,0,60,2.09
43,1.99,900,1000,70,2.09
44,2.00,1000,0,65,2.10
45,2.08,0,0,0,2.10
46,2.09,0,0,0,2.11
47,2.05,0,0,35,2.11
48,2.02,1300,0,65,2.12
49,2.04,0,0,50,2.12
50,2.04,0,0,50,2.12
51,2.04,0,0,50,2.12
52,2.05,0,0,50,2.13
53,2.04,1000,2000,60,2.13
54,2.04,1000,2000,60,2.13
55,2.08,0,0,35,2.14
56,2.08,0,0,35,2.14
57,2.08,0,0,35,2.14
58,2.05,1200,0,60,2.14
59,2.05,0,0,65,2.15
60,2.04,1250,0,75,2.15
